country;year;GDPcapita
Afghanistan;2008;466
Albania;2008;4174
Algeria;2008;4959
Andorra;2008;43975
Angola;2008;1942
Anguilla;2008;19291
Antigua and Barbuda;2008;14048
Argentina;2008;8358
Armenia;2008;3877
Aruba;2008;25831
Australia;2008;48253
Austria;2008;49596
Azerbaijan;2008;5298
Bahamas;2008;22102
Bahrain;2008;28240
Bangladesh;2008;494
Barbados;2008;14422
Belarus;2008;6230
Belgium;2008;47609
Belize;2008;4569
Benin;2008;767
Bermuda;2008;99383
Bhutan;2008;1933
Bolivia;2008;1723
Bosnia and Herzegovina;2008;4874
Botswana;2008;6108
Brazil;2008;8311
British Virgin Islands;2008;53302
Brunei Darussalam;2008;37048
Bulgaria;2008;6573
Burkina Faso;2008;522
Burundi;2008;138
Cambodia;2008;769
Cameroon;2008;1218
Canada;2008;45166
Cape Verde;2008;3439
Cayman Islands;2008;50717
Central African Republic;2008;464
Chad;2008;765
Chile;2008;10091
China;2008;3292
China, Hong Kong SAR;2008;30872
China, Macao SAR;2008;41427
Colombia;2008;5415
Comoros;2008;802
Congo;2008;2934
Cook Islands;2008;10907
Costa Rica;2008;6599
Côte d'Ivoire;2008;1137
Croatia;2008;15677
Cuba;2008;5596
Cyprus;2008;31551
Czech Republic;2008;21036
Democratic People's Republic of Korea;2008;555
Democratic Republic of the Congo;2008;181
Denmark;2008;62520
Djibouti;2008;1155
Dominica;2008;5447
Dominican Republic;2008;4574
Ecuador;2008;3900
Egypt;2008;2031
El Salvador;2008;3605
Equatorial Guinea;2008;27130
Eritrea;2008;300
Estonia;2008;17298
Ethiopia;2008;319
Fiji;2008;4264
Finland;2008;51409
France;2008;44675
French Guiana;NA;NA
French Polynesia;2008;17781
Gabon;2008;9888
Gambia;2008;636
Georgia;2008;2970
Germany;2008;44363
Ghana;2008;709
Greece;2008;31954
Greenland;2008;30355
Grenada;2008;6221
Guadeloupe;NA;NA
Guam;NA;NA
Guatemala;2008;2848
Guinea;2008;505
Guinea-Bissau;2008;257
Guyana;2008;1543
Haiti;2008;717
Honduras;2008;1957
Hungary;2008;15448
Iceland;2008;52490
India;2008;1061
Indonesia;2008;2247
Iran, Islamic Republic of;2008;4728
Iraq;2008;788
Ireland;2008;61314
Israel;2008;28292
Italy;2008;38640
Jamaica;2008;5571
Japan;2008;38578
Jordan;2008;3466
Kazakhstan;2008;8535
Kenya;2008;788
Kiribati;2008;804
Kosovo;2008;1917
Kuwait;2008;54152
Kyrgyzstan;2008;934
Lao People's Democratic Republic;2008;858
Latvia;2008;14956
Lebanon;2008;6797
Lesotho;2008;788
Liberia;2008;219
Libyan Arab Jamahiriya;2008;14430
Liechtenstein;2008;141114
Lithuania;2008;14244
Luxembourg;2008;111743
Madagascar;2008;488
Malawi;2008;278
Malaysia;2008;8197
Maldives;2008;4131
Mali;2008;677
Malta;2008;20254
Marshall Islands;2008;2737
Martinique;NA;NA
Mauritania;2008;1017
Mauritius;2008;7450
Mexico;2008;9964
Micronesia (Federated States of);2008;2154
Monaco;2008;211501
Mongolia;2008;1991
Montenegro;2008;7744
Montserrat;2008;8272
Morocco;2008;2740
Mozambique;2008;440
Myanmar;2008;578
Namibia;2008;4143
Nauru;2008;2396
Nepal;2008;465
Netherlands;2008;52699
Netherlands Antilles;2008;19512
New Caledonia;2008;37678
New Zealand;2008;29879
Nicaragua;2008;1228
Niger;2008;354
Nigeria;2008;1450
Norway;2008;94791
Occupied Palestinian Territory;2008;1485
Oman;2008;18879
Pakistan;2008;1010
Palau;2008;8812
Panama;2008;6793
Papua New Guinea;2008;1218
Paraguay;2008;2581
Peru;2008;4471
Philippines;2008;1866
Poland;2008;13855
Portugal;2008;22805
Puerto Rico;2008;24583
Qatar;2008;88990
Republic of Korea;2008;19296
Republic of Moldova;2008;1664
Réunion;NA;NA
Romania;2008;9518
Russian Federation;2008;11858
Rwanda;2008;458
Saint Kitts and Nevis;2008;10874
Saint Lucia;2008;6016
Saint Vincent and the Grenadines;2008;5515
Samoa;2008;2988
San Marino;2008;60925
Sao Tome and Principe;2008;1108
Saudi Arabia;2008;18555
Senegal;2008;1088
Serbia;2008;6871
Seychelles;2008;11044
Sierra Leone;2008;418
Singapore;2008;39423
Slovakia;2008;17585
Slovenia;2008;26987
Solomon Islands;2008;1284
Somalia;2008;298
South Africa;2008;5566
Spain;2008;36061
Sri Lanka;2008;2030
Sudan;2008;1700
Suriname;2008;5569
Swaziland;2008;2369
Sweden;2008;52035
Switzerland;2008;65200
Syrian Arab Republic;2008;2572
Tajikistan;2008;363
TFYR of Macedonia;2008;4407
Thailand;2008;4187
Timor-Leste;2008;518
Togo;2008;446
Tonga;2008;2891
Trinidad and Tobago;2008;18153
Tunisia;2008;3876
Turkey;2008;10031
Turkmenistan;2008;1754
Turks and Caicos Islands;2008;29880
Tuvalu;2008;3213
Uganda;2008;500
Ukraine;2008;3921
United Arab Emirates;2008;63966
United Kingdom;2008;43544
United Republic of Tanzania;2008;502
United States;2008;45230
United States Virgin Islands;NA;NA
Uruguay;2008;9610
Uzbekistan;2008;946
Vanuatu;2008;2388
Venezuela (Bolivarian Republic of);2008;11376
Viet Nam;2008;1041
Yemen;2008;1356
Zambia;2008;1144
Zimbabwe;2008;314
